train/loss_step,epoch,step,val/loss,val/average_precision,val/p@r=0.25,val/p@r=0.5,val/p@r=0.75,train/loss_epoch
0.6464059352874756,0,49,,,,,,
,0,61,0.5262076258659363,0.8426498174667358,0.8035087585449219,0.7920277118682861,0.773393452167511,
,0,61,,,,,,0.691795825958252
0.6167008876800537,1,99,,,,,,
,1,123,0.5001682639122009,0.8750742673873901,0.8674242496490479,0.8249097466468811,0.7939814925193787,
,1,123,,,,,,0.638856828212738
0.6318807005882263,2,149,,,,,,
,2,185,0.48814657330513,0.8624244332313538,0.85447758436203,0.847866415977478,0.8032786846160889,
,2,185,,,,,,0.6023821830749512
0.5539368391036987,3,199,,,,,,
,3,247,0.5113862752914429,0.8514521718025208,0.8513011336326599,0.8447319865226746,0.8070588111877441,
,3,247,,,,,,0.5754534006118774
0.5230321884155273,4,249,,,,,,
0.5953569412231445,4,299,,,,,,
,4,309,0.5042681097984314,0.857683539390564,0.841911792755127,0.8264014720916748,0.8051643371582031,
,4,309,,,,,,0.5590870380401611
0.6345174908638,5,349,,,,,,
,5,371,0.5362300872802734,0.8586723208427429,0.8674242496490479,0.8574109077453613,0.7949014902114868,
,5,371,,,,,,0.5407314300537109
0.4324871003627777,6,399,,,,,,
,6,433,0.5443602204322815,0.8466966152191162,0.8609022498130798,0.8542056083679199,0.8195937871932983,
,6,433,,,,,,0.5296345949172974
