train/loss_step,epoch,step,val/loss,val/average_precision,val/p@r=0.25,val/p@r=0.5,val/p@r=0.75,train/loss_epoch
0.46495935320854187,0,49,,,,,,
,0,61,0.6768362522125244,0.872228741645813,0.9051383137702942,0.8688212633132935,0.8080094456672668,
,0,61,,,,,,0.5195441246032715
0.4329739212989807,1,99,,,,,,
,1,123,0.5887666344642639,0.8646214008331299,0.88416987657547,0.8431734442710876,0.8032786846160889,
,1,123,,,,,,0.5232005715370178
0.8137046098709106,2,149,,,,,,
,2,185,0.6699904799461365,0.8706567287445068,0.908730149269104,0.8558052182197571,0.8127962350845337,
,2,185,,,,,,0.5181159377098083
0.32247617840766907,3,199,,,,,,
,3,247,0.6053979992866516,0.8406769633293152,0.9160000085830688,0.8574109077453613,0.8176400661468506,
,3,247,,,,,,0.5115190744400024
0.44496631622314453,4,249,,,,,,
0.44056838750839233,4,299,,,,,,
,4,309,0.6795892119407654,0.8547914624214172,0.8910505771636963,0.8638941645622253,0.8265060186386108,
,4,309,,,,,,0.5108572244644165
0.6708616018295288,5,349,,,,,,
,5,371,0.858123779296875,0.836533784866333,0.8980392217636108,0.8788461685180664,0.8032786846160889,
,5,371,,,,,,0.5065019726753235
0.5723397731781006,6,399,,,,,,
,6,433,0.7876923680305481,0.8401215076446533,0.8740457892417908,0.8754789233207703,0.8235294222831726,
,6,433,,,,,,0.5059511065483093
0.5067343711853027,7,449,,,,,,
,7,495,0.6663141846656799,0.8378965258598328,0.88416987657547,0.8655303120613098,0.8376068472862244,
,7,495,,,,,,0.49860504269599915
0.4368937611579895,8,499,,,,,,
0.5289655923843384,8,549,,,,,,
,8,557,0.7291881442070007,0.8351662158966064,0.9015747904777527,0.8688212633132935,0.8235294222831726,
,8,557,,,,,,0.5043061375617981
