train/loss_step,epoch,step,val/loss,val/average_precision,val/p@r=0.25,val/p@r=0.5,val/p@r=0.75,train/loss_epoch
0.6613399982452393,0,49,,,,,,
,0,61,0.5561743974685669,0.8740850687026978,0.8450184464454651,0.796167254447937,0.7699214220046997,
,0,61,,,,,,0.7176851034164429
0.6237294673919678,1,99,,,,,,
,1,123,0.4945620000362396,0.864233672618866,0.8513011336326599,0.8175312876701355,0.7876004576683044,
,1,123,,,,,,0.6566819548606873
0.6362967491149902,2,149,,,,,,
,2,185,0.4989365339279175,0.8497644662857056,0.8609022498130798,0.83699631690979,0.8061104416847229,
,2,185,,,,,,0.6130249500274658
0.5012837648391724,3,199,,,,,,
,3,247,0.519824743270874,0.8402665853500366,0.8388278484344482,0.8324226140975952,0.7939814925193787,
,3,247,,,,,,0.58526211977005
0.5756450891494751,4,249,,,,,,
0.42596435546875,4,299,,,,,,
,4,309,0.4971119463443756,0.8629779815673828,0.85447758436203,0.83699631690979,0.8051643371582031,
,4,309,,,,,,0.558051347732544
0.4738037884235382,5,349,,,,,,
,5,371,0.5149489045143127,0.8543808460235596,0.8641509413719177,0.8278985619544983,0.8061104416847229,
,5,371,,,,,,0.5476891994476318
